2023-04-25 14:14:33.543 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@20171cdc, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@58f97013, org.springframework.security.web.context.SecurityContextHolderFilter@63f2d024, org.springframework.security.web.header.HeaderWriterFilter@490d9c41, org.springframework.security.web.authentication.logout.LogoutFilter@582c1f8d, chen.security.filter.AuthenticationTokenFilter@2109a691, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@405223e4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2d2133fd, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7d70ba18, org.springframework.security.web.session.SessionManagementFilter@31c5304f, org.springframework.security.web.access.ExceptionTranslationFilter@4067634b, org.springframework.security.web.access.intercept.AuthorizationFilter@6723e6b3]
2023-04-25 14:14:33.801 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-25 14:14:33.818 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-25 14:14:33.826 [main] INFO  chen.ServerApplication - Started ServerApplication in 2.922 seconds (process running for 3.388)
2023-04-25 14:15:04.008 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-25 14:15:04.009 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-25 14:15:04.009 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-04-25 14:15:04.805 [http-nio-8080-exec-29] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 247 ms
2023-04-25 14:31:04.098 [http-nio-8080-exec-24] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-04-25 14:31:04.439 [http-nio-8080-exec-24] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@3b720315
2023-04-25 14:31:04.441 [http-nio-8080-exec-24] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-04-25 15:06:24.846 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-04-25 15:06:24.847 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
